Pais,Nombre_cliente,Datos_pedido,Estado,Producto,Categoria,Marca,Costo,Ventas,Cantidad,Costo_Totales,Ventas_totales,Ganancias,Ganancias_Totales
Italia,Suvankar Chakraborty,27/03/2020,Delivered,Standard ATX motherboard,Printer,Gigabyte,7650.0,9945.0,2.0,15300.0,19890.0,2295.0,4590.0
E.E.U.U,Suvankar Adhikary,27/03/2020,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,3.0,3450.0,4485.0,345.0,1035.0
Brasil,Rahul Kumar Prajapati,27/03/2020,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,1.0,850.0,1105.0,255.0,255.0
Colombia,Sagar Jeur,27/03/2020,Processing,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,4.0,2600.0,3380.0,195.0,780.0
China,Rhushikesh Mane,27/03/2020,Delivered,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,2250.0,2250.0
Australia,Ashish Kumar,27/03/2020,Shipped,7 TB HDD,HDD,Seagate,10000.0,13000.0,1.0,10000.0,13000.0,3000.0,3000.0
Francia,Javed Akhter,27/03/2020,Order,6 TB SSD,SSD,Samsung,10500.0,13650.0,3.0,31500.0,40950.0,3150.0,9450.0
Colombia,Haridas Balraj,27/03/2020,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,2550.0,2550.0
Australia,Kundan Kumar,27/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,2100.0,6300.0
India,Atif Siddiqui,27/03/2020,Shipped,9 GB DDR4 Ram,NIC,Hynix,1680.0,2184.0,2.0,3360.0,4368.0,504.0,1008.0
Japon,Aditya Agarwal,27/03/2020,Order,Micro ATX motherboard,Printer,MSI,6540.0,8502.0,3.0,19620.0,25506.0,1962.0,5886.0
Colombia,Firdoush Jabee,27/03/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,3.0,8040.0,10452.0,804.0,2412.0
Australia,Jay Prakash Kumar,27/03/2020,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,4.0,33000.0,42900.0,2475.0,9900.0
Brasil,Ashish Pandey,27/03/2020,Shipped,13 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,795.0,3180.0
Australia,Ajay Sharma,28/03/2020,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,3765.0,15060.0
Italia,Moinuddin Saifi,28/03/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,4350.0,4350.0
Australia,Ramkrishna Das Adhikary,28/03/2020,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,4.0,3200.0,4160.0,240.0,960.0
Alemania,Ranjeet Mandal,28/03/2020,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,2.0,1200.0,1560.0,180.0,360.0
Australia,Ashwini Adsare,28/03/2020,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,3150.0
Francia,Rajesh Variya,28/03/2020,Processing,7 TB HDD,HDD,Western Digital,6500.0,8450.0,4.0,26000.0,33800.0,1950.0,7800.0
Reino Unido,Amit Singh,28/03/2020,Delivered,262 GB SSD,SSD,Samsung,4500.0,5850.0,2.0,9000.0,11700.0,1350.0,2700.0
Alemania,Vinod Mehta,28/03/2020,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,2550.0,7650.0
Mexico,Jignesh Mhatre,28/03/2020,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,2.0,25000.0,32500.0,3750.0,7500.0
Francia,Rahul Kashyap,28/03/2020,Processing,14 GB DDR4 RAM,RAM,Hynix,3500.0,4550.0,4.0,14000.0,18200.0,1050.0,4200.0
China,Mohammed Abdul Kaleem,28/03/2020,Delivered,BTX motherboard,Motherboard,Gigabyte,4500.0,5850.0,2.0,9000.0,11700.0,1350.0,2700.0
Brasil,Chandrakant Kasbe,28/03/2020,Shipped,9 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,1.0,2100.0,2730.0,630.0,630.0
Australia,Rohan Kale,28/03/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,1.0,1150.0,1495.0,345.0,345.0
Australia,Aniruddha Kekapure,28/03/2020,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,2.0,700.0,910.0,105.0,210.0
Mexico,Aslam Raza,28/03/2020,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,2.0,19000.0,24700.0,2850.0,5700.0
China,Roshan Zameer,28/03/2020,Shipped,8 TB HDD,HDD,Western Digital,10000.0,13000.0,4.0,40000.0,52000.0,3000.0,12000.0
Francia,Rakesh Kumar Sharma,28/03/2020,Order,518 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,1950.0,5850.0
Japon,Shivanand Sahani,28/03/2020,Processing,RYZEN 3rd gen. 3506,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
E.E.U.U,Kunal Patra,28/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
Reino Unido,Bijendra,28/03/2020,Shipped,22 GB DDR4 RAM,RAM,Hynix,6550.0,8515.0,1.0,6550.0,8515.0,1965.0,1965.0
Australia,Kranti Bheke,28/03/2020,Order,Standard ATX motherboard,Motherboard,Gigabyte,7650.0,9945.0,1.0,7650.0,9945.0,2295.0,2295.0
Brasil,Jagdeep,28/03/2020,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,1.0,1150.0,1495.0,345.0,345.0
China,Adhir Samal,28/03/2020,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,4.0,3400.0,4420.0,255.0,1020.0
Italia,Dannana Jhammi,28/03/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,1.0,650.0,845.0,195.0,195.0
Japon,Vipin Kumar,28/03/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,3.0,22500.0,29250.0,2250.0,6750.0
China,Ranjeet Kumar,28/03/2020,Processing,8 TB HDD,HDD,Seagate,10000.0,13000.0,1.0,10000.0,13000.0,3000.0,3000.0
India,Sajal Singhal,28/03/2020,Delivered,7 TB SSD,SSD,Samsung,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,3150.0
India,Akhilesh Kumar,28/03/2020,Shipped,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,2550.0,5100.0
Mexico,Suvankar Chakraborty,28/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
Australia,Suvankar Adhikary,28/03/2020,Processing,10 GB DDR4 Ram,RAM,Hynix,1680.0,2184.0,1.0,1680.0,2184.0,504.0,504.0
E.E.U.U,Rahul Kumar Prajapati,28/03/2020,Delivered,Micro ATX motherboard,Motherboard,MSI,6540.0,8502.0,3.0,19620.0,25506.0,1962.0,5886.0
Alemania,Sagar Jeur,28/03/2020,Shipped,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,3.0,8040.0,10452.0,804.0,2412.0
Brasil,Rhushikesh Mane,28/03/2020,Order,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,1.0,8250.0,10725.0,2475.0,2475.0
Japon,Ashish Kumar,28/03/2020,Processing,14 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,3.0,7950.0,10335.0,795.0,2385.0
Reino Unido,Javed Akhter,28/03/2020,Delivered,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,3765.0,15060.0
Reino Unido,Haridas Balraj,28/03/2020,Shipped,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,4350.0,4350.0
Colombia,Kundan Kumar,28/03/2020,Order,USB Keyboard,Keyboard,Dell,800.0,1040.0,4.0,3200.0,4160.0,240.0,960.0
Colombia,Atif Siddiqui,28/03/2020,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,4.0,2400.0,3120.0,180.0,720.0
Brasil,Aditya Agarwal,29/03/2020,Delivered,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,3.0,31500.0,40950.0,3150.0,9450.0
Australia,Firdoush Jabee,29/03/2020,Shipped,8 TB HDD,HDD,Western Digital,6500.0,8450.0,2.0,13000.0,16900.0,1950.0,3900.0
Australia,Jay Prakash Kumar,29/03/2020,Order,263 GB SSD,SSD,Samsung,4500.0,5850.0,1.0,4500.0,5850.0,1350.0,1350.0
Alemania,Ashish Pandey,29/03/2020,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Australia,Ajay Sharma,29/03/2020,Delivered,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,3.0,37500.0,48750.0,3750.0,11250.0
Alemania,Moinuddin Saifi,29/03/2020,Shipped,15 GB DDR4 RAM,Computer Case,Hynix,3500.0,4550.0,1.0,3500.0,4550.0,1050.0,1050.0
Australia,Ramkrishna Das Adhikary,29/03/2020,Order,BTX motherboard,Mouse,Gigabyte,4500.0,5850.0,1.0,4500.0,5850.0,1350.0,1350.0
Colombia,Ranjeet Mandal,29/03/2020,Processing,10 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,1.0,2100.0,2730.0,630.0,630.0
Mexico,Ashwini Adsare,29/03/2020,Delivered,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,2.0,2300.0,2990.0,345.0,690.0
Alemania,Rajesh Variya,29/03/2020,Shipped,USB Mouse,Mouse,Samsung,350.0,455.0,1.0,350.0,455.0,105.0,105.0
Italia,Amit Singh,29/03/2020,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,3.0,28500.0,37050.0,2850.0,8550.0
India,Vinod Mehta,29/03/2020,Processing,9 TB HDD,HDD,Western Digital,10000.0,13000.0,4.0,40000.0,52000.0,3000.0,12000.0
India,Jignesh Mhatre,29/03/2020,Delivered,519 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,1950.0,5850.0
Australia,Rahul Kashyap,29/03/2020,Shipped,RYZEN 3rd gen. 3507,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,2550.0,2550.0
Alemania,Mohammed Abdul Kaleem,29/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,2100.0,4200.0
Francia,Chandrakant Kasbe,29/03/2020,Processing,23 GB DDR4 RAM,Computer Case,Hynix,6550.0,8515.0,1.0,6550.0,8515.0,1965.0,1965.0
Japon,Rohan Kale,29/03/2020,Delivered,Standard ATX motherboard,Mouse,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,2295.0,9180.0
Italia,Aniruddha Kekapure,29/03/2020,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,3.0,3450.0,4485.0,345.0,1035.0
Colombia,Aslam Raza,29/03/2020,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,1.0,850.0,1105.0,255.0,255.0
Italia,Roshan Zameer,29/03/2020,Processing,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,3.0,1950.0,2535.0,195.0,585.0
Australia,Rakesh Kumar Sharma,29/03/2020,Delivered,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,2250.0,2250.0
Colombia,Shivanand Sahani,29/03/2020,Shipped,9 TB HDD,HDD,Seagate,10000.0,13000.0,4.0,40000.0,52000.0,3000.0,12000.0
Italia,Kunal Patra,29/03/2020,Order,8 TB SSD,SSD,Samsung,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,3150.0
Reino Unido,Bijendra,29/03/2020,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Alemania,Kranti Bheke,29/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
India,Jagdeep,29/03/2020,Shipped,11 GB DDR4 Ram,Computer Case,Hynix,1680.0,2184.0,1.0,1680.0,2184.0,504.0,504.0
Brasil,Adhir Samal,29/03/2020,Order,Micro ATX motherboard,Mouse,MSI,6540.0,8502.0,1.0,6540.0,8502.0,1962.0,1962.0
Colombia,Dannana Jhammi,29/03/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,4.0,10720.0,13936.0,804.0,3216.0
E.E.U.U,Vipin Kumar,29/03/2020,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,4.0,33000.0,42900.0,2475.0,9900.0
Reino Unido,Ranjeet Kumar,29/03/2020,Shipped,15 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,795.0,3180.0
E.E.U.U,Sajal Singhal,29/03/2020,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,1.0,12550.0,16315.0,3765.0,3765.0
Brasil,Akhilesh Kumar,29/03/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,1.0,14500.0,18850.0,4350.0,4350.0
E.E.U.U,Suvankar Chakraborty,29/03/2020,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,2.0,1600.0,2080.0,240.0,480.0
Italia,Suvankar Adhikary,29/03/2020,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,1.0,600.0,780.0,180.0,180.0
Colombia,Rahul Kumar Prajapati,29/03/2020,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,2.0,21000.0,27300.0,3150.0,6300.0
Francia,Sagar Jeur,29/03/2020,Processing,9 TB HDD,HDD,Western Digital,6500.0,8450.0,1.0,6500.0,8450.0,1950.0,1950.0
Reino Unido,Rhushikesh Mane,29/03/2020,Delivered,264 GB SSD,SSD,Samsung,4500.0,5850.0,1.0,4500.0,5850.0,1350.0,1350.0
Alemania,Ashish Kumar,29/03/2020,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,2550.0,7650.0
Italia,Javed Akhter,29/03/2020,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,3.0,37500.0,48750.0,3750.0,11250.0
Colombia,Haridas Balraj,29/03/2020,Processing,16 GB DDR4 RAM,NIC,Hynix,3500.0,4550.0,3.0,10500.0,13650.0,1050.0,3150.0
Colombia,Kundan Kumar,29/03/2020,Delivered,BTX motherboard,Printer,Gigabyte,4500.0,5850.0,2.0,9000.0,11700.0,1350.0,2700.0
Japon,Atif Siddiqui,29/03/2020,Shipped,11 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,2.0,4200.0,5460.0,630.0,1260.0
Francia,Aditya Agarwal,29/03/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,4.0,4600.0,5980.0,345.0,1380.0
Mexico,Firdoush Jabee,29/03/2020,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,3.0,1050.0,1365.0,105.0,315.0
Italia,Jay Prakash Kumar,29/03/2020,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,3.0,28500.0,37050.0,2850.0,8550.0
Alemania,Ashish Pandey,29/03/2020,Shipped,10 TB HDD,HDD,Western Digital,10000.0,13000.0,4.0,40000.0,52000.0,3000.0,12000.0
Colombia,Ajay Sharma,29/03/2020,Order,520 GB M.2,SSD,Samsung,6500.0,8450.0,2.0,13000.0,16900.0,1950.0,3900.0
Japon,Moinuddin Saifi,29/03/2020,Processing,RYZEN 3rd gen. 3508,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Mexico,Ramkrishna Das Adhikary,29/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
E.E.U.U,Ranjeet Mandal,29/03/2020,Shipped,24 GB DDR4 RAM,NIC,Hynix,6550.0,8515.0,1.0,6550.0,8515.0,1965.0,1965.0
Mexico,Ashwini Adsare,29/03/2020,Order,Standard ATX motherboard,Printer,Gigabyte,7650.0,9945.0,1.0,7650.0,9945.0,2295.0,2295.0
Francia,Rajesh Variya,29/03/2020,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,3.0,3450.0,4485.0,345.0,1035.0
Reino Unido,Amit Singh,29/03/2020,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,3.0,2550.0,3315.0,255.0,765.0
Mexico,Vinod Mehta,29/03/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,1.0,650.0,845.0,195.0,195.0
Italia,Jignesh Mhatre,29/03/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,3.0,22500.0,29250.0,2250.0,6750.0
India,Rahul Kashyap,29/03/2020,Processing,10 TB HDD,HDD,Seagate,10000.0,13000.0,4.0,40000.0,52000.0,3000.0,12000.0
Mexico,Mohammed Abdul Kaleem,29/03/2020,Delivered,9 TB SSD,SSD,Samsung,10500.0,13650.0,2.0,21000.0,27300.0,3150.0,6300.0
Brasil,Chandrakant Kasbe,29/03/2020,Shipped,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,2550.0,7650.0
E.E.U.U,Rohan Kale,29/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
Brasil,Aniruddha Kekapure,29/03/2020,Processing,12 GB DDR4 Ram,NIC,Hynix,1680.0,2184.0,4.0,6720.0,8736.0,504.0,2016.0
Brasil,Aslam Raza,29/03/2020,Delivered,Micro ATX motherboard,Printer,MSI,6540.0,8502.0,3.0,19620.0,25506.0,1962.0,5886.0
Francia,Roshan Zameer,29/03/2020,Shipped,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,3.0,8040.0,10452.0,804.0,2412.0
Alemania,Rakesh Kumar Sharma,29/03/2020,Order,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,4.0,33000.0,42900.0,2475.0,9900.0
Italia,Shivanand Sahani,29/03/2020,Processing,16 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,2.0,5300.0,6890.0,795.0,1590.0
Alemania,Kunal Patra,29/03/2020,Delivered,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,2.0,25100.0,32630.0,3765.0,7530.0
E.E.U.U,Bijendra,29/03/2020,Shipped,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,2.0,29000.0,37700.0,4350.0,8700.0
E.E.U.U,Kranti Bheke,29/03/2020,Order,USB Keyboard,Keyboard,Dell,800.0,1040.0,4.0,3200.0,4160.0,240.0,960.0
Japon,Jagdeep,29/03/2020,Processing,Wireless Mouse,Mouse,Samsung,600.0,780.0,3.0,1800.0,2340.0,180.0,540.0
Italia,Adhir Samal,29/03/2020,Delivered,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,3150.0
Mexico,Dannana Jhammi,29/03/2020,Shipped,10 TB HDD,HDD,Western Digital,6500.0,8450.0,4.0,26000.0,33800.0,1950.0,7800.0
Italia,Vipin Kumar,29/03/2020,Order,265 GB SSD,SSD,Samsung,4500.0,5850.0,1.0,4500.0,5850.0,1350.0,1350.0
Francia,Ranjeet Kumar,29/03/2020,Processing,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,2550.0,5100.0
Mexico,Sajal Singhal,29/03/2020,Delivered,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,3.0,37500.0,48750.0,3750.0,11250.0
Japon,Akhilesh Kumar,29/03/2020,Shipped,17 GB DDR4 RAM,RAM,Hynix,3500.0,4550.0,2.0,7000.0,9100.0,1050.0,2100.0
Francia,Suvankar Chakraborty,29/03/2020,Order,BTX motherboard,Motherboard,Gigabyte,4500.0,5850.0,3.0,13500.0,17550.0,1350.0,4050.0
Alemania,Suvankar Adhikary,29/03/2020,Processing,12 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,3.0,6300.0,8190.0,630.0,1890.0
Brasil,Rahul Kumar Prajapati,29/03/2020,Delivered,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,4.0,4600.0,5980.0,345.0,1380.0
India,Sagar Jeur,29/03/2020,Shipped,USB Mouse,Mouse,Samsung,350.0,455.0,3.0,1050.0,1365.0,105.0,315.0
Italia,Rhushikesh Mane,29/03/2020,Order,"19"" LED Display",Monitor,Dell,9500.0,12350.0,1.0,9500.0,12350.0,2850.0,2850.0
Alemania,Ashish Kumar,29/03/2020,Processing,11 TB HDD,HDD,Western Digital,10000.0,13000.0,1.0,10000.0,13000.0,3000.0,3000.0
Alemania,Javed Akhter,29/03/2020,Delivered,521 GB M.2,SSD,Samsung,6500.0,8450.0,1.0,6500.0,8450.0,1950.0,1950.0
Colombia,Haridas Balraj,29/03/2020,Shipped,RYZEN 3rd gen. 3509,CPU,Intel,8500.0,11050.0,2.0,17000.0,22100.0,2550.0,5100.0
India,Kundan Kumar,29/03/2020,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
Japon,Atif Siddiqui,29/03/2020,Processing,25 GB DDR4 RAM,RAM,Hynix,6550.0,8515.0,1.0,6550.0,8515.0,1965.0,1965.0
Mexico,Aditya Agarwal,29/03/2020,Delivered,Standard ATX motherboard,Motherboard,Gigabyte,7650.0,9945.0,1.0,7650.0,9945.0,2295.0,2295.0
Alemania,Firdoush Jabee,29/03/2020,Shipped,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,1.0,1150.0,1495.0,345.0,345.0
Alemania,Jay Prakash Kumar,29/03/2020,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,2.0,1700.0,2210.0,255.0,510.0
E.E.U.U,Ashish Pandey,29/03/2020,Processing,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,3.0,1950.0,2535.0,195.0,585.0
Australia,Ajay Sharma,29/03/2020,Delivered,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,4.0,30000.0,39000.0,2250.0,9000.0
Japon,Moinuddin Saifi,29/03/2020,Shipped,11 TB HDD,HDD,Seagate,10000.0,13000.0,2.0,20000.0,26000.0,3000.0,6000.0
Australia,Ramkrishna Das Adhikary,29/03/2020,Order,10 TB SSD,SSD,Samsung,10500.0,13650.0,4.0,42000.0,54600.0,3150.0,12600.0
Colombia,Ranjeet Mandal,29/03/2020,Processing,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,2550.0,10200.0
Francia,Ashwini Adsare,29/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,3.0,21000.0,27300.0,2100.0,6300.0
India,Rajesh Variya,29/03/2020,Shipped,13 GB DDR4 Ram,RAM,Hynix,1680.0,2184.0,4.0,6720.0,8736.0,504.0,2016.0
Brasil,Amit Singh,29/03/2020,Order,Micro ATX motherboard,Motherboard,MSI,6540.0,8502.0,1.0,6540.0,8502.0,1962.0,1962.0
Alemania,Vinod Mehta,29/03/2020,Processing,Gaming Box Cabinet,Cabinet,Asus,2680.0,3484.0,4.0,10720.0,13936.0,804.0,3216.0
China,Jignesh Mhatre,29/03/2020,Delivered,"17"" LCD Display",Monitor,Samsung,8250.0,10725.0,4.0,33000.0,42900.0,2475.0,9900.0
Australia,Rahul Kashyap,29/03/2020,Shipped,17 GB DDR4 RAM,RAM,Samsung,2650.0,3445.0,4.0,10600.0,13780.0,795.0,3180.0
Colombia,Mohammed Abdul Kaleem,29/03/2020,Order,"26"" LCD Display",Monitor,Acer,12550.0,16315.0,4.0,50200.0,65260.0,3765.0,15060.0
China,Chandrakant Kasbe,29/03/2020,Processing,I7 - intel 12th Generation,CPU,Intel,14500.0,18850.0,2.0,29000.0,37700.0,4350.0,8700.0
Brasil,Rohan Kale,29/03/2020,Delivered,USB Keyboard,Keyboard,Dell,800.0,1040.0,2.0,1600.0,2080.0,240.0,480.0
Australia,Aniruddha Kekapure,29/03/2020,Shipped,Wireless Mouse,Mouse,Samsung,600.0,780.0,4.0,2400.0,3120.0,180.0,720.0
E.E.U.U,Aslam Raza,29/03/2020,Order,"21"" LCD Display",Monitor,Dell,10500.0,13650.0,2.0,21000.0,27300.0,3150.0,6300.0
Colombia,Roshan Zameer,29/03/2020,Processing,11 TB HDD,HDD,Western Digital,6500.0,8450.0,3.0,19500.0,25350.0,1950.0,5850.0
E.E.U.U,Rakesh Kumar Sharma,29/03/2020,Delivered,266 GB SSD,SSD,Samsung,4500.0,5850.0,3.0,13500.0,17550.0,1350.0,4050.0
Italia,Shivanand Sahani,29/03/2020,Shipped,Intel i3 11th gen.,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,2550.0,7650.0
Brasil,Kunal Patra,29/03/2020,Order,4GB Graphic card,Graphic Card,Nvidia,12500.0,16250.0,1.0,12500.0,16250.0,3750.0,3750.0
Mexico,Bijendra,29/03/2020,Processing,18 GB DDR4 RAM,Computer Case,Hynix,3500.0,4550.0,4.0,14000.0,18200.0,1050.0,4200.0
Francia,Kranti Bheke,29/03/2020,Delivered,BTX motherboard,Mouse,Gigabyte,4500.0,5850.0,4.0,18000.0,23400.0,1350.0,5400.0
Australia,Jagdeep,29/03/2020,Shipped,13 Fans Cabinet,Cabinet,Asus,2100.0,2730.0,2.0,4200.0,5460.0,630.0,1260.0
Francia,Adhir Samal,29/03/2020,Order,Wireless Keyboard,Keyboard,Dell,1150.0,1495.0,4.0,4600.0,5980.0,345.0,1380.0
Colombia,Dannana Jhammi,29/03/2020,Processing,USB Mouse,Mouse,Samsung,350.0,455.0,1.0,350.0,455.0,105.0,105.0
Mexico,Vipin Kumar,29/03/2020,Delivered,"19"" LED Display",Monitor,Dell,9500.0,12350.0,2.0,19000.0,24700.0,2850.0,5700.0
China,Ranjeet Kumar,30/03/2020,Shipped,12 TB HDD,HDD,Western Digital,10000.0,13000.0,4.0,40000.0,52000.0,3000.0,12000.0
Colombia,Sajal Singhal,30/03/2020,Order,522 GB M.2,SSD,Samsung,6500.0,8450.0,3.0,19500.0,25350.0,1950.0,5850.0
India,Akhilesh Kumar,30/03/2020,Processing,RYZEN 3rd gen. 3510,CPU,Intel,8500.0,11050.0,1.0,8500.0,11050.0,2550.0,2550.0
Japon,Suvankar Chakraborty,30/03/2020,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,4.0,28000.0,36400.0,2100.0,8400.0
E.E.U.U,Suvankar Adhikary,30/03/2020,Shipped,26 GB DDR4 RAM,Computer Case,Hynix,6550.0,8515.0,2.0,13100.0,17030.0,1965.0,3930.0
Mexico,Rahul Kumar Prajapati,30/03/2020,Order,Standard ATX motherboard,Mouse,Gigabyte,7650.0,9945.0,2.0,15300.0,19890.0,2295.0,4590.0
China,Sagar Jeur,30/03/2020,Processing,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,4.0,4600.0,5980.0,345.0,1380.0
Alemania,Rhushikesh Mane,30/03/2020,Delivered,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,4.0,3400.0,4420.0,255.0,1020.0
Brasil,Ashish Kumar,30/03/2020,Shipped,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,1.0,650.0,845.0,195.0,195.0
China,Javed Akhter,30/03/2020,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,2.0,15000.0,19500.0,2250.0,4500.0
